rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,angle_min,angle_max,angle_increment,time_increment,scan_time,range_min,range_max,ranges,intensities
1555425840928629589,,3585,,1555425840,928149938,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.5220000147819519, inf, 1.1109999418258667, inf]",[]
1555425840941426324,,3586,,1555425840,941273927,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.3499999940395355, inf, 1.7599999904632568]",[]
1555425840955014072,,3587,,1555425840,954814910,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840968539486,,3588,,1555425840,968328952,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840981948537,,3589,,1555425840,981775999,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840995728686,,3590,,1555425840,995214939,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.5270000100135803, inf, 1.1230000257492065, inf]",[]
1555425841008546275,,3591,,1555425841,8323907,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.35600000619888306, inf, 1.7569999694824219]",[]
1555425841030007952,,3592,,1555425841,29655933,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425841047220376,,3593,,1555425841,47044038,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425841061089187,,3594,,1555425841,60935020,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425841075918770,,3595,,1555425841,75740098,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.5220000147819519, inf, 1.1139999628067017, inf]",[]
1555425841089226649,,3596,,1555425841,89091062,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.3569999933242798, inf, 1.7640000581741333]",[]
1555425841102770140,,3597,,1555425841,102571964,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425841118425340,,3598,,1555425841,118165969,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425841133740387,,3599,,1555425841,133615016,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425841155325630,,3600,,1555425841,155029058,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.515999972820282, inf, 1.1169999837875366, inf]",[]
1555425841179668316,,3601,,1555425841,178487062,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.3630000054836273, inf, 1.7649999856948853]",[]
1555425841194193690,,3602,,1555425841,193811893,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
